author001,苏轼,宋,子瞻,东坡居士
author002,李白,唐,太白,青莲居士
author003,陆游,宋,务观,放翁
author004,陈著,宋,子微,本堂
author005,贺铸,宋,方回,庆湖遗老
author006,刘克庄,宋,潜夫,后村
author007,李春叟,宋,子先,号梅外处士
